Time	Gas
15:21:22	CO2       
15:21:22	Ar        
15:21:22	CO2       
15:21:25	Ar        
15:21:25	Ar        
15:21:25	CO2       
15:21:25	Ar        
15:21:25	CO2       
15:21:27	Ar        
15:21:27	Ar        
15:21:28	CO2       
15:21:28	Ar        
15:21:28	CO2       
15:21:30	Ar        
15:21:30	CO2       
15:21:30	Ar        
15:21:30	CO2       
15:21:32	Ar        
15:21:33	Ar        
15:21:33	CO2       
15:21:33	Ar        
15:21:33	CO2       
15:21:35	Ar        
15:21:35	Ar        
15:21:35	CO2       
15:21:35	Ar        
15:21:36	CO2       
15:21:38	Ar        
15:21:38	CO2       
15:21:38	Ar        
15:21:38	CO2       
15:21:40	Ar        
15:21:40	Ar        
15:21:40	CO2       
15:21:41	Ar        
15:21:41	CO2       
15:21:43	Ar        
15:21:43	Ar        
15:21:43	CO2       
15:21:43	Ar        
15:21:43	CO2       
15:21:45	Ar        
15:21:46	Ar        
15:21:46	CO2       
15:21:46	Ar        
15:21:46	CO2       
15:21:48	Ar        
15:21:48	CO2       
15:21:48	Ar        
15:21:48	CO2       
15:21:51	Ar        
15:21:51	Ar        
15:21:51	CO2       
15:21:51	Ar        
15:21:51	CO2       
15:21:53	Ar        
15:21:53	CO2       
15:21:53	Ar        
15:21:53	CO2       
15:21:56	Ar        
15:21:56	Ar        
15:21:56	CO2       
15:21:56	CO2       
15:21:58	Ar        
15:22:00	CO2       
15:22:00	CO2       
15:22:00	Ar        
15:22:01	Ar        
15:22:01	CO2       
15:22:01	CO2       
15:22:01	Ar        
15:22:02	Ar        
15:22:02	Ar        
15:22:03	Ar        
15:22:04	CO2       
15:22:04	Ar        
15:22:04	CO2       
15:22:06	Ar        
15:22:06	Ar        
15:22:08	Ar        
15:22:09	Ar        
15:22:09	CO2       
15:22:09	Ar        
15:22:09	CO2       
15:22:11	Ar        
15:22:11	Ar        
15:22:11	Ar        
15:22:14	Ar        
15:22:14	Ar        
15:22:14	Ar        
15:22:16	Ar        
15:22:17	Ar        
15:22:17	Ar        
15:22:19	Ar        
15:22:19	Ar        
15:22:19	CO2       
15:22:19	CO2       
15:22:21	Ar        
15:22:22	Ar        
15:22:22	CO2       
15:22:22	Ar        
15:22:22	CO2       
15:22:24	Ar        
15:22:24	CO2       
15:22:24	Ar        
15:22:24	CO2       
15:22:27	Ar        
15:22:27	Ar        
15:22:27	CO2       
15:22:27	Ar        
15:22:27	CO2       
15:22:29	Ar        
15:22:29	CO2       
15:22:29	Ar        
15:22:30	CO2       
15:22:32	CO2       
15:22:32	CO2       
15:22:34	Ar        
15:22:35	Ar        
15:22:35	CO2       
15:22:35	CO2       
15:22:37	Ar        
15:22:37	CO2       
15:22:37	CO2       
15:22:39	Ar        
15:22:40	Ar        
15:22:40	CO2       
15:22:40	Ar        
15:22:40	CO2       
15:22:42	Ar        
15:22:42	CO2       
15:22:42	Ar        
15:22:42	CO2       
15:22:44	Ar        
15:22:45	Ar        
15:22:45	CO2       
15:22:45	CO2       
15:22:48	CO2       
15:22:48	CO2       
15:22:48	CO2       
15:22:49	CO2       
15:22:51	CO2       
15:22:51	CO2       
15:22:51	CO2       
15:22:52	CO2       
15:22:54	CO2       
15:22:55	CO2       
15:22:55	CO2       
15:22:56	CO2       
15:22:57	Ar        
15:22:57	Ar        
15:22:57	Ar        
15:22:57	CO2       
15:22:58	CO2       
15:22:58	Ar        
15:22:59	Ar        
15:22:59	Ar        
15:22:59	Ar        
15:23:00	Ar        
15:23:00	CO2       
15:23:00	CO2       
15:23:01	Ar        
15:23:01	Ar        
15:23:01	Ar        
15:23:02	Ar        
15:23:02	Ar        
15:23:03	Ar        
15:23:03	CO2       
15:23:03	Ar        
15:23:03	Ar        
15:23:03	CO2       
15:23:03	Ar        
15:23:03	Ar        
15:23:04	Ar        
15:23:04	Ar        
15:23:05	Ar        
15:23:05	Ar        
15:23:05	CO2       
15:23:05	Ar        
15:23:06	CO2       
15:23:08	Ar        
15:23:08	Ar        
15:23:08	CO2       
15:23:08	CO2       
15:23:10	Ar        
15:23:10	CO2       
15:23:10	Ar        
15:23:11	CO2       
15:23:13	Ar        
15:36:08	Ar        
15:36:08	CO2       
15:36:08	Ar        
15:36:09	CO2       
15:36:11	Ar        
15:36:11	CO2       
15:36:11	Ar        
15:36:11	CO2       
15:36:13	Ar        
15:36:13	Ar        
15:36:14	CO2       
15:36:14	Ar        
15:36:14	CO2       
15:36:16	Ar        
15:37:03	CO2       
15:37:03	Ar        
15:37:03	CO2       
15:37:03	Ar        
15:37:03	CO2       
15:37:03	Ar        
15:37:03	CO2       
15:37:03	Ar        
15:37:03	Ar        
15:37:05	CO2       
15:37:05	CO2       
15:37:06	CO2       
15:37:06	Ar        
15:37:06	CO2       
15:37:07	CO2       
15:37:07	Ar        
15:37:07	CO2       
15:37:07	Ar        
15:37:07	CO2       
15:37:07	Ar        
15:37:08	Ar        
15:37:08	CO2       
15:37:09	Ar        
15:37:09	CO2       
15:37:09	Ar        
15:37:09	CO2       
15:37:09	Ar        
15:37:09	CO2       
15:37:10	Ar        
15:37:10	CO2       
15:37:11	Ar        
15:37:11	CO2       
15:37:11	Ar        
15:37:11	CO2       
15:37:11	Ar        
15:37:11	CO2       
15:37:11	Ar        
15:37:11	CO2       
15:37:12	Ar        
15:37:12	CO2       
15:37:12	Ar        
15:37:12	CO2       
15:37:12	Ar        
15:37:12	CO2       
15:37:13	Ar        
15:37:13	CO2       
15:37:13	Ar        
15:37:13	CO2       
15:37:13	Ar        
15:37:13	CO2       
15:37:16	CO2       
15:37:16	Ar        
15:37:16	CO2       
15:37:16	Ar        
15:37:16	CO2       
15:37:16	Ar        
15:37:16	CO2       
15:37:16	Ar        
15:37:16	CO2       
15:37:16	Ar        
15:37:16	CO2       
15:41:26	Ar        
15:41:29	Ar        
15:41:30	Ar        
15:41:32	CO2       
15:41:32	Ar        
15:41:32	CO2       
15:41:32	CO2       
15:41:33	CO2       
15:41:34	CO2       
15:41:34	Ar        
15:41:34	CO2       
15:41:34	Ar        
15:41:34	Ar        
15:41:34	Ar        
15:41:35	Ar        
15:41:35	Ar        
15:41:35	Ar        
15:41:37	CO2       
15:41:37	CO2       
15:41:37	Ar        
15:41:38	CO2       
15:41:40	CO2       
15:41:43	CO2       
15:41:43	CO2       
15:41:43	CO2       
15:41:43	CO2       
15:41:43	CO2       
15:41:43	CO2       
15:41:44	CO2       
15:41:44	CO2       
15:41:44	Ar        
15:41:44	Ar        
15:41:45	CO2       
15:41:45	Ar        
15:41:45	CO2       
15:41:45	Ar        
15:41:45	CO2       
15:41:45	Ar        
15:41:46	CO2       
15:41:46	Ar        
15:41:47	Ar        
15:41:47	Ar        
15:41:47	CO2       
15:41:47	Ar        
15:41:47	CO2       
15:41:48	Ar        
15:41:48	Ar        
15:41:49	Ar        
15:41:49	Ar        
15:41:49	Ar        
15:41:49	CO2       
15:41:50	Ar        
15:41:50	CO2       
15:41:50	Ar        
15:41:50	Ar        
15:41:51	Ar        
15:41:51	Ar        
15:41:51	Ar        
15:41:51	Ar        
15:41:52	Ar        
15:41:52	CO2       
15:41:52	Ar        
15:41:52	CO2       
15:41:54	Ar        
15:41:55	Ar        
15:41:55	CO2       
15:41:55	CO2       
15:41:57	Ar        
15:41:57	CO2       
15:41:57	Ar        
15:41:57	CO2       
15:41:59	Ar        
15:42:00	CO2       
15:42:00	Ar        
15:42:00	CO2       
15:42:02	Ar        
15:42:02	Ar        
15:42:02	CO2       
15:42:02	Ar        
15:42:02	CO2       
15:42:05	Ar        
15:42:05	CO2       
15:42:05	Ar        
15:42:05	CO2       
15:42:07	Ar        
15:42:07	CO2       
15:42:07	Ar        
15:42:08	CO2       
15:42:10	Ar        
15:42:10	Ar        
15:42:10	CO2       
15:42:10	Ar        
15:42:10	CO2       
15:42:12	Ar        
15:42:12	Ar        
15:42:13	CO2       
15:42:13	Ar        
15:42:13	CO2       
15:42:15	Ar        
15:42:15	CO2       
15:42:15	Ar        
15:42:15	CO2       
15:42:17	Ar        
15:42:18	CO2       
15:42:18	Ar        
15:42:18	CO2       
15:42:20	Ar        
15:42:20	CO2       
15:42:20	Ar        
15:42:20	CO2       
15:42:22	Ar        
15:42:23	Ar        
15:42:23	CO2       
15:42:23	CO2       
15:42:27	Ar        
15:42:27	Ar        
15:45:43	CO2       
15:45:43	Ar        
15:45:43	CO2       
15:45:45	Ar        
15:45:45	CO2       
15:45:46	Ar        
15:45:46	Ar        
15:45:46	CO2       
15:45:48	Ar        
15:45:48	CO2       
15:45:48	Ar        
15:45:48	CO2       
15:51:57	Ar        
15:51:57	CO2       
15:51:57	Ar        
15:51:57	CO2       
15:51:57	Ar        
15:51:59	Ar        
15:51:59	Ar        
15:51:59	CO2       
15:52:00	CO2       
15:52:24	Ar        
15:52:24	Ar        
15:52:25	CO2       
15:52:25	Ar        
15:52:25	CO2       
15:52:27	Ar        
15:52:27	Ar        
15:52:27	CO2       
15:52:27	Ar        
15:52:27	CO2       
15:52:29	Ar        
15:52:30	CO2       
15:52:30	Ar        
15:52:30	CO2       
15:52:35	Ar        
15:52:37	Ar        
15:52:38	Ar        
15:52:38	CO2       
15:52:38	CO2       
15:52:38	CO2       
15:52:39	Ar        
15:52:39	CO2       
15:52:40	Ar        
15:52:40	CO2       
15:52:40	Ar        
15:52:40	CO2       
15:52:40	Ar        
15:52:40	CO2       
15:52:40	Ar        
15:52:40	CO2       
15:52:41	Ar        
15:52:41	CO2       
15:52:41	Ar        
15:52:41	CO2       
15:52:43	Ar        
15:52:43	Ar        
15:52:43	CO2       
15:52:43	Ar        
15:52:43	CO2       
15:52:45	Ar        
15:52:45	Ar        
15:52:45	CO2       
15:52:46	CO2       
15:52:48	Ar        
15:52:48	CO2       
15:52:48	Ar        
15:52:48	CO2       
15:52:50	Ar        
15:52:50	Ar        
15:52:50	CO2       
15:52:51	CO2       
15:52:53	Ar        
15:52:53	CO2       
15:52:53	Ar        
15:52:53	CO2       
15:52:55	Ar        
15:53:44	CO2       
15:53:44	Ar        
15:53:44	CO2       
15:53:44	Ar        
15:53:44	CO2       
15:53:44	Ar        
15:53:45	CO2       
15:53:45	Ar        
15:53:46	Ar        
15:53:46	CO2       
15:53:46	Ar        
15:53:46	Ar        
15:53:47	Ar        
15:53:48	CO2       
15:53:49	CO2       
15:53:50	CO2       
15:53:50	CO2       
15:53:50	CO2       
15:53:50	Ar        
15:53:50	CO2       
15:53:50	Ar        
15:53:51	Ar        
15:53:51	Ar        
15:53:51	Ar        
15:53:51	CO2       
15:53:52	Ar        
15:53:53	Ar        
15:53:53	Ar        
15:53:53	CO2       
15:53:53	CO2       
15:53:53	Ar        
15:53:54	Ar        
15:53:55	Ar        
15:53:55	Ar        
15:53:55	CO2       
15:53:56	CO2       
15:53:58	Ar        
15:53:58	CO2       
15:53:58	Ar        
15:53:58	CO2       
15:54:00	Ar        
15:54:00	Ar        
15:54:00	CO2       
15:54:01	CO2       
15:54:02	Ar        
15:54:03	Ar        
15:54:03	CO2       
15:54:03	CO2       
15:54:51	CO2       
15:54:53	Ar        
15:54:54	CO2       
15:54:57	Ar        
15:54:57	Ar        
15:54:58	Ar        
15:54:58	CO2       
15:54:58	Ar        
15:54:58	CO2       
15:54:58	CO2       
15:54:59	Ar        
15:54:59	Ar        
15:54:59	CO2       
15:54:59	Ar        
15:54:59	Ar        
15:55:00	CO2       
15:55:00	CO2       
15:55:00	Ar        
15:55:00	CO2       
15:55:01	Ar        
15:55:01	CO2       
15:55:01	Ar        
15:55:02	CO2       
15:55:02	CO2       
15:55:02	CO2       
15:55:02	CO2       
15:55:02	CO2       
15:55:03	Ar        
15:55:03	CO2       
15:55:03	Ar        
15:55:29	CO2       
15:55:30	Ar        
15:55:30	Ar        
15:55:30	Ar        
15:55:41	CO2       
15:55:42	CO2       
15:55:42	CO2       
15:55:42	CO2       
15:55:43	CO2       
15:55:44	CO2       
15:55:45	Ar        
15:55:46	Ar        
15:55:47	Ar        
15:55:48	Ar        
15:55:48	Ar        
15:55:49	Ar        
15:55:49	Ar        
15:56:08	Ar        
15:56:08	CO2       
15:56:08	Ar        
15:56:08	CO2       
15:56:08	Ar        
15:56:09	Ar        
15:56:10	Ar        
15:56:11	CO2       
15:56:11	Ar        
15:56:11	CO2       
15:56:13	Ar        
15:56:13	Ar        
15:56:13	CO2       
15:56:13	Ar        
15:56:13	CO2       
15:56:16	Ar        
15:56:16	CO2       
15:56:16	Ar        
15:56:16	CO2       
15:56:18	Ar        
15:56:18	CO2       
15:56:18	Ar        
15:56:19	CO2       
15:56:21	Ar        
15:56:21	Ar        
15:56:21	CO2       
15:56:21	CO2       
15:56:23	Ar        
15:56:23	Ar        
15:56:23	CO2       
15:56:24	Ar        
15:56:24	CO2       
15:56:26	Ar        
15:56:26	CO2       
15:56:26	Ar        
15:56:26	CO2       
15:56:28	Ar        
15:56:28	Ar        
15:56:28	CO2       
15:56:29	CO2       
15:56:31	Ar        
15:56:31	Ar        
15:56:31	CO2       
15:56:31	CO2       
15:56:33	Ar        
15:56:33	Ar        
15:56:34	CO2       
